A,B,,C,D,E,F,G,H
0,-16.3962462790534,,0,-20.2913896327052,0,-20.2913896327052,0,-20.2913896327052
1,-16.3962462790534,,0,-20.2902123965504,0,-20.2902123965504,0,-20.2902123965504
0,1E+308,,0,-20.2890351603957,0,-20.2890351603957,0,-20.2890351603957
0,-16.3805997335984,,0,-20.2878579242409,0,-20.2878579242409,0,-20.2878579242409
1,-16.3805997335984,,0,-20.2866806880862,0,-20.2866806880862,0,-20.2866806880862
0,1E+308,,0,-20.2855034519314,0,-20.2855034519314,0,-20.2855034519314
0,-16.3721642047444,,0,-20.2843262157767,0,-20.2843262157767,0,-20.2843262157767
1,-16.3721642047444,,0,-20.2831489796219,0,-20.2831489796219,0,-20.2831489796219
0,1E+308,,0,-20.2819717434672,0,-20.2819717434672,0,-20.2819717434672
0,-16.367238944349,,0,-20.2807945073125,0,-20.2807945073125,0,-20.2807945073125
1,-16.367238944349,,0,-20.2796172711577,0,-20.2796172711577,0,-20.2796172711577
0,1E+308,,0,-20.278440035003,0,-20.278440035003,0,-20.278440035003
0,-16.3662321231632,,0,-20.2772627988482,0,-20.2772627988482,0,-20.2772627988482
1,-16.3662321231632,,0,-20.2760855626934,0,-20.2760855626934,0,-20.2760855626934
0,1E+308,,0,-20.2749083265387,0,-20.2749083265387,0,-20.2749083265387
0,-16.2688970047414,,0,-20.2737310903839,0,-20.2737310903839,0,-20.2737310903839
1,-16.2688970047414,,0,-20.2725538542292,0,-20.2725538542292,0,-20.2725538542292
0,1E+308,,0,-20.2713766180745,0,-20.2713766180745,0,-20.2713766180745
0,-16.2520531584168,,0,-20.2701993819197,0,-20.2701993819197,0,-20.2701993819197
1,-16.2520531584168,,0,-20.269022145765,0,-20.269022145765,0,-20.269022145765
0,1E+308,,0,-20.2678449096102,0,-20.2678449096102,0,-20.2678449096102
0,-16.2288146369932,,0,-20.2666676734555,0,-20.2666676734555,0,-20.2666676734555
1,-16.2288146369932,,0,-20.2654904373007,0,-20.2654904373007,0,-20.2654904373007
0,1E+308,,0,-20.264313201146,0,-20.264313201146,0,-20.264313201146
0,-16.1114791517724,,0,-20.2631359649912,0,-20.2631359649912,0,-20.2631359649912
1,-16.1114791517724,,0,-20.2619587288365,0,-20.2619587288365,0,-20.2619587288365
0,1E+308,,0,-20.2607814926817,0,-20.2607814926817,0,-20.2607814926817
0,-16.0824173943012,,0,-20.259604256527,0,-20.259604256527,0,-20.259604256527
1,-16.0824173943012,,0,-20.2584270203722,0,-20.2584270203722,0,-20.2584270203722
0,1E+308,,0,-20.2572497842175,0,-20.2572497842175,0,-20.2572497842175
0,-16.0708253449728,,0,-20.2560725480627,0,-20.2560725480627,0,-20.2560725480627
1,-16.0708253449728,,0,-20.254895311908,0,-20.254895311908,0,-20.254895311908
0,1E+308,,0,-20.2537180757532,0,-20.2537180757532,0,-20.2537180757532
0,-16.0561856207036,,0,-20.2525408395985,0,-20.2525408395985,0,-20.2525408395985
1,-16.0561856207036,,0,-20.2513636034437,0,-20.2513636034437,0,-20.2513636034437
0,1E+308,,0,-20.250186367289,0,-20.250186367289,0,-20.250186367289
0,-16.0251102208608,,0,-20.2490091311342,0,-20.2490091311342,0,-20.2490091311342
1,-16.0251102208608,,0,-20.2478318949795,0,-20.2478318949795,0,-20.2478318949795
0,1E+308,,0,-20.2466546588247,0,-20.2466546588247,0,-20.2466546588247
0,-16.0204026515326,,0,-20.24547742267,0,-20.24547742267,0,-20.24547742267
1,-16.0204026515326,,0,-20.2443001865152,0,-20.2443001865152,0,-20.2443001865152
0,1E+308,,0,-20.2431229503605,0,-20.2431229503605,0,-20.2431229503605
0,-15.9726194622822,,0,-20.2419457142058,0,-20.2419457142058,0,-20.2419457142058
1,-15.9726194622822,,0,-20.240768478051,0,-20.240768478051,0,-20.240768478051
0,1E+308,,0,-20.2395912418962,0,-20.2395912418962,0,-20.2395912418962
0,-15.9376256232298,,0,-20.2384140057415,0,-20.2384140057415,0,-20.2384140057415
1,-15.9376256232298,,0,-20.2372367695868,0,-20.2372367695868,0,-20.2372367695868
0,1E+308,,0,-20.236059533432,0,-20.236059533432,0,-20.236059533432
0,-15.9286730780912,,0,-20.2348822972773,0,-20.2348822972773,0,-20.2348822972773
1,-15.9286730780912,,0,-20.2337050611225,0,-20.2337050611225,0,-20.2337050611225
0,1E+308,,0,-20.2325278249678,0,-20.2325278249678,0,-20.2325278249678
0,-15.8614065383264,,0,-20.231350588813,0,-20.231350588813,0,-20.231350588813
